Complete address,Doctors name,Specialty,Clinic/Hospital,Years of experience,Contact number,Ratings,Contact email,Reviews,"Summary of Pros and Cons (Summary of reviews), and recommendation"
"Area 14, Pune - 4110014",Dr. Shivam Hospital,Cardiology,Shivam Hospital Clinic,17,+91 9536319440,3.9,dr14@gmail.com,91,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 15, Pune - 4110015",Dr. Dhage Healthcare Cardio Protective Ayurved Centre,Cardiology,Dhage Healthcare Cardio Protective Ayurved Centre Clinic,5,+91 9806620021,4.0,dr15@gmail.com,33,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 16, Pune - 4110016",Dr. Noble Hospitals & Research Centre,Cardiology,Noble Hospitals & Research Centre Clinic,23,+91 9389295047,3.6,dr16@gmail.com,129,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 17, Pune - 4110017",Dr. Lokmanya Hospital For Special Surgery,Cardiology,Lokmanya Hospital For Special Surgery Clinic,18,+91 9429319049,3.7,dr17@gmail.com,81,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 18, Pune - 4110018",Dr. Vikrant Khese Vighnaharta Heart Care and Imaging Centre,Cardiology,Dr. Vikrant Khese Vighnaharta Heart Care and Imaging Centre Clinic,23,+91 9717510513,3.8,dr18@gmail.com,19,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 19, Pune - 4110019",Dr. Giridhar Hospital,Cardiology,Giridhar Hospital Clinic,18,+91 9232483053,3.6,dr19@gmail.com,35,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 20, Pune - 4110020",Dr. Gnx Healing Centre,Cardiology,Gnx Healing Centre Clinic,7,+91 9805413811,3.7,dr20@gmail.com,108,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 1, Mumbai - 411001",Dr. Saaol Heart and Wellness Center,Cardiology,Saaol Heart and Wellness Center Clinic,5,+91 9952718548,3.6,dr1@gmail.com,180,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 2, Mumbai - 411002",Dr. Awatansh Tripathi (Chest Physician),Cardiology,Dr. Awatansh Tripathi (Chest Physician) Clinic,25,+91 9924234153,3.7,dr2@gmail.com,98,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 3, Mumbai - 411003",Dr. Abhishek Wadkar,Cardiology,Dr. Abhishek Wadkar Clinic,21,+91 9630772152,3.9,dr3@gmail.com,55,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 4, Mumbai - 411004",Dr Sonu Puri Sahyadri Multispeciality Hospital,Cardiology,Dr Sonu Puri Sahyadri Multispeciality Hospital Clinic,25,+91 9692718218,4.5,dr4@gmail.com,194,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 5, Mumbai - 411005",Dr. G.R Kane,Cardiology,Dr. G.R Kane Clinic,9,+91 9235311853,3.7,dr5@gmail.com,84,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 6, Mumbai - 411006",Dr. Smt S R Mehta & Sir K P Cardiac Institute,Cardiology,Smt S R Mehta & Sir K P Cardiac Institute Clinic,17,+91 9478855252,4.1,dr6@gmail.com,175,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 7, Mumbai - 411007",Dr. Swara Hospital,Cardiology,Swara Hospital Clinic,5,+91 9776328203,3.8,dr7@gmail.com,42,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 8, Mumbai - 411008",Dr. Ojas Diabetes and Medical Clinic,Cardiology,Ojas Diabetes and Medical Clinic Clinic,18,+91 9138303176,4.0,dr8@gmail.com,39,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 9, Mumbai - 411009",Dr. Ashish Agrawal,Cardiology,Dr. Ashish Agrawal Clinic,23,+91 9651861368,4.2,dr9@gmail.com,62,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 10, Mumbai - 4110010",Dr. Shuddhi Hiims Ayurvedic Clinics and Hospitals,Cardiology,Shuddhi Hiims Ayurvedic Clinics and Hospitals Clinic,8,+91 9603035381,4.3,dr10@gmail.com,155,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 12, Mumbai - 4110012",Dr. Saurabh Dhariya,Cardiology,Dr. Saurabh Dhariya Clinic,16,+91 9529199350,4.6,dr12@gmail.com,46,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 13, Mumbai - 4110013",Dr. Apex Clinic,Cardiology,Apex Clinic Clinic,5,+91 9054384803,4.2,dr13@gmail.com,188,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 14, Mumbai - 4110014",Dr. Heart & Mind Clinic ( Dr Hemant Khemani & Dr Rahul Khemani),Cardiology,Heart & Mind Clinic ( Dr Hemant Khemani & Dr Rahul Khemani) Clinic,7,+91 9077025417,3.7,dr14@gmail.com,65,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 15, Mumbai - 4110015",Dr. Vertex Multispeciality Hospital,Cardiology,Vertex Multispeciality Hospital Clinic,9,+91 9524643812,4.3,dr15@gmail.com,102,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 16, Mumbai - 4110016",Dr. Sirona Cardiac Care,Cardiology,Sirona Cardiac Care Clinic,19,+91 9381865359,3.7,dr16@gmail.com,31,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 17, Mumbai - 4110017",Dr. Lifeline Medicare Hospital,Cardiology,Lifeline Medicare Hospital Clinic,11,+91 9402754970,4.4,dr17@gmail.com,54,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 18, Mumbai - 4110018",Dr. Rajiv Karnik,Cardiology,Dr. Rajiv Karnik Clinic,22,+91 9451479474,4.4,dr18@gmail.com,88,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 19, Mumbai - 4110019",Dr. Parag Bhalgat,Cardiology,Dr. Parag Bhalgat Clinic,9,+91 9126484421,4.6,dr19@gmail.com,126,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 20, Mumbai - 4110020",Dr. Mahajan Heart Clinic,Cardiology,Mahajan Heart Clinic Clinic,25,+91 9382813184,3.5,dr20@gmail.com,174,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 1, Pune - 411001",Dr. Vishwaraj Hospital,Dermatology,Vishwaraj Hospital Clinic,18,+91 9391523977,4.7,dr1@gmail.com,157,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 2, Pune - 411002",Dr. Oliva Skin & Hair Clinic,Dermatology,Oliva Skin & Hair Clinic Clinic,14,+91 9015470118,3.6,dr2@gmail.com,35,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 3, Pune - 411003",Dr D Y Patil Medical College Hospital and Research Centre,Dermatology,Dr D Y Patil Medical College Hospital and Research Centre Clinic,25,+91 9354165437,4.1,dr3@gmail.com,63,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 4, Pune - 411004",Dr. Prime Skin Doctors,Dermatology,Prime Skin Doctors Clinic,23,+91 9151737820,4.3,dr4@gmail.com,109,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 5, Pune - 411005",Dr. Oliva Skin & Hair Clinic,Dermatology,Oliva Skin & Hair Clinic Clinic,5,+91 9992346719,4.7,dr5@gmail.com,162,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 6, Pune - 411006",Dr. Skinzone Clinic - Dr Nirali Shah Pawar,Dermatology,Skinzone Clinic - Dr Nirali Shah Pawar Clinic,25,+91 9969230818,4.5,dr6@gmail.com,73,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 7, Pune - 411007",Dr. Skinsure Clinic,Dermatology,Skinsure Clinic Clinic,8,+91 9391481173,3.9,dr7@gmail.com,172,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 8, Pune - 411008",Dr.Tannu Komal Skin Clinic,Dermatology,Dr.Tannu Komal Skin Clinic Clinic,14,+91 9135402822,4.2,dr8@gmail.com,188,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 9, Pune - 411009",Dr.Shreeniwas S.Raut MBBS MD Medicine DM Oncologist,Dermatology,Dr.Shreeniwas S.Raut MBBS MD Medicine DM Oncologist Clinic,17,+91 9203991760,3.6,dr9@gmail.com,104,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 10, Pune - 4110010",Dr. Oliva Skin & Hair Clinic,Dermatology,Oliva Skin & Hair Clinic Clinic,21,+91 9566297673,4.0,dr10@gmail.com,26,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 1, Mumbai - 411001",Dr. Aarogyam Advanced Skin,Dermatology,Aarogyam Advanced Skin Clinic,21,+91 9072238419,3.7,dr1@gmail.com,64,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 2, Mumbai - 411002",Dr. City Multispeciality Hospital,Dermatology,City Multispeciality Hospital Clinic,19,+91 9587936754,4.6,dr2@gmail.com,56,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 3, Mumbai - 411003",Dr. Nimish Narkar Clinic,Dermatology,Dr. Nimish Narkar Clinic Clinic,17,+91 9259839408,4.0,dr3@gmail.com,160,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 4, Mumbai - 411004",Dr. Radicare Diagnostic & Polyclinic,Dermatology,Radicare Diagnostic & Polyclinic Clinic,21,+91 9228559999,4.6,dr4@gmail.com,43,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 5, Mumbai - 411005",Dr. Radiant Hospital,Dermatology,Radiant Hospital Clinic,14,+91 9420939088,3.5,dr5@gmail.com,93,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 6, Mumbai - 411006",Dr. Apollo Spectra Hospitals,Dermatology,Apollo Spectra Hospitals Clinic,22,+91 9119388680,3.7,dr6@gmail.com,166,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 7, Mumbai - 411007",Dr. Voras Glorious Clinic,Dermatology,Dr. Voras Glorious Clinic Clinic,18,+91 9263651057,4.4,dr7@gmail.com,152,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 8, Mumbai - 411008",Dr. B A E Clinic,Dermatology,B A E Clinic Clinic,16,+91 9974363273,4.3,dr8@gmail.com,120,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 9, Mumbai - 411009",Dr Kusuma Sankula (Kaya Elegance Dermatology Institute Skin And Aesthetic Clinic),Dermatology,Dr Kusuma Sankula (Kaya Elegance Dermatology Institute Skin And Aesthetic Clinic) Clinic,25,+91 9478915017,3.9,dr9@gmail.com,145,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 10, Mumbai - 4110010",Dr. Jain Multi Speciality Hospital,Dermatology,Jain Multi Speciality Hospital Clinic,8,+91 9314892644,3.8,dr10@gmail.com,149,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 1, Pune - 411001",Dr. Ingale Hospital Kimaya Brain And Spine Centre,Neurology,Ingale Hospital Kimaya Brain And Spine Centre Clinic,16,+91 9658709110,3.8,dr1@gmail.com,186,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 2, Pune - 411002",Dr. Phalke Neuro Hospital,Neurology,Phalke Neuro Hospital Clinic,25,+91 9901552840,4.5,dr2@gmail.com,63,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 3, Pune - 411003",Dr. Kush Neuro Cardiac Hospital,Neurology,Kush Neuro Cardiac Hospital Clinic,21,+91 9309982365,4.6,dr3@gmail.com,130,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 4, Pune - 411004",Dr. Aditya Birla Memorial Hospital,Neurology,Aditya Birla Memorial Hospital Clinic,13,+91 9754869144,3.6,dr4@gmail.com,181,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 5, Pune - 411005",Dr. Manipal Hospitals,Neurology,Manipal Hospitals Clinic,16,+91 9294573373,4.0,dr5@gmail.com,91,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 6, Pune - 411006",Dr. Deccan Hardikar Hospital,Neurology,Deccan Hardikar Hospital Clinic,10,+91 9938100610,3.8,dr6@gmail.com,181,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 7, Pune - 411007",Dr. Manipal Hospital,Neurology,Manipal Hospital Clinic,17,+91 9216365285,4.1,dr7@gmail.com,52,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 8, Pune - 411008",Dr.Shreeniwas S.Raut MBBS MD Medicine DM Oncologist,Neurology,Dr.Shreeniwas S.Raut MBBS MD Medicine DM Oncologist Clinic,20,+91 9495634249,4.6,dr8@gmail.com,41,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 9, Pune - 411009",Dr. Surya Hospital,Neurology,Surya Hospital Clinic,24,+91 9870218875,4.3,dr9@gmail.com,142,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 10, Pune - 4110010",Dr. Dilip Kumar Kiyawat,Neurology,Dr. Dilip Kumar Kiyawat Clinic,7,+91 9974834209,3.5,dr10@gmail.com,113,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 1, Mumbai - 411001",Dr. Anjali Deshpande (National Mental Health Clinic),Neurology,Dr. Anjali Deshpande (National Mental Health Clinic) Clinic,7,+91 9978237112,4.3,dr1@gmail.com,97,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 2, Mumbai - 411002",Dr. Solaris Hospital,Neurology,Solaris Hospital Clinic,23,+91 9611549238,4.1,dr2@gmail.com,170,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 3, Mumbai - 411003",Dr Joshi's Neurotrauma Centre,Neurology,Dr Joshi's Neurotrauma Centre Clinic,8,+91 9717339905,4.6,dr3@gmail.com,151,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 4, Mumbai - 411004",Dr. Rakesh K Singh (Brain & Spine Clinic),Neurology,Dr. Rakesh K Singh (Brain & Spine Clinic) Clinic,5,+91 9617924120,3.7,dr4@gmail.com,162,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 5, Mumbai - 411005",Dr. Hexa Cure Hospital,Neurology,Hexa Cure Hospital Clinic,11,+91 9693048543,4.7,dr5@gmail.com,64,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 6, Mumbai - 411006",Dr. Patidar Neuro Care,Neurology,Patidar Neuro Care Clinic,12,+91 9038079773,4.5,dr6@gmail.com,134,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 7, Mumbai - 411007",Dr. Sachin Adukia,Neurology,Dr. Sachin Adukia Clinic,15,+91 9180563244,4.0,dr7@gmail.com,91,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 8, Mumbai - 411008",Dr. Vivaan Hospital,Neurology,Vivaan Hospital Clinic,23,+91 9861195825,3.9,dr8@gmail.com,40,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 9, Mumbai - 411009",Dr. Acharya Bijan Krishna,Neurology,Dr. Acharya Bijan Krishna Clinic,14,+91 9486149294,4.0,dr9@gmail.com,44,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
"Area 10, Mumbai - 4110010",Dr. Nakshatra Hospital,Neurology,Nakshatra Hospital Clinic,9,+91 9895896784,4.3,dr10@gmail.com,118,PROS: Good experience | CONS: Busy schedule | RECOMMENDATION: Recommended
